Disease,Number,Sponsor,Phase,Study Type,URL
Angiosarcoma,NCT02732678,Assistance Publique Hopitaux De Marseille,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02732678
Gliosarcoma,NCT02311920,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02311920
Mesothelioma,NCT02784171,Canadian Cancer Trials Group,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02784171
Adenoid Cystic Carcinoma,NCT02780310,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02780310
Kidney Cancer,NCT01486550,Regional Hospital Holstebro,Phase 4,Interventional,https://clinicaltrials.gov/show/NCT01486550
Mesothelioma,NCT03918252,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03918252
Hodgkin Lymphoma,NCT03436862,"SCRI Development Innovations, LLC",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03436862
Leiomyosarcoma,NCT03437070,University of Miami,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03437070
Mesothelioma,NCT03436732,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03436732
Cholangiocarcinoma,NCT03438435,"D. Kim Turgeon, MD",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03438435
Kidney Cancer,NCT03433534,"University Hospital, Tours",None,Observational,https://clinicaltrials.gov/show/NCT03433534
Kidney Cancer,NCT00031564,H. Lee Moffitt Cancer Center and Research Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00031564
Kidney Cancer,NCT00039429,Eastern Cooperative Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00039429
Kidney Cancer,NCT00030888,"University of California, San Francisco",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00030888
Kidney Cancer,NCT00039169,Theradex,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00039169
Fallopian Tube Cancer,NCT00039585,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00039585
Fallopian Tube Cancer,NCT00030446,NCIC Clinical Trials Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00030446
Fallopian Tube Cancer,NCT00031954,AGO Study Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00031954
Male Breast Cancer,NCT00030615,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00030615
Richter's Transformation,NCT00472849,M.D. Anderson Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00472849
Kidney Cancer,NCT03185039,Institut Paoli-Calmettes,N/A,Interventional,https://clinicaltrials.gov/show/NCT03185039
Insulinoma,NCT03189953,Radboud University,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03189953
Uveal Melanoma,NCT03712904,Sidney Kimmel Cancer Center at Thomas Jefferson University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03712904
Uveal Melanoma,NCT02874040,Institut Curie,N/A,Interventional,https://clinicaltrials.gov/show/NCT02874040
Penile Cancer,NCT03391479,"University Health Network, Toronto",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03391479
Alveolar Soft Part Sarcoma,NCT03623581,"Genor Biopharma Co., Ltd.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03623581
Kidney Cancer,NCT03623490,Centre Georges Francois Leclerc,N/A,Interventional,https://clinicaltrials.gov/show/NCT03623490
Primary Myelofibrosis,NCT03627403,University of Utah,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03627403
Cholangiocarcinoma,NCT04037007,"Coordinación de Investigación en Salud, Mexico",N/A,Interventional,https://clinicaltrials.gov/show/NCT04037007
Mesothelioma,NCT02860286,"Epizyme, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02860286
Kaposi's Sarcoma,NCT01067690,"Barbara Ensoli, MD, PhD",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01067690
Kidney Cancer,NCT01751529,UNC Lineberger Comprehensive Cancer Center,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01751529
Cholangiocarcinoma,NCT01755013,Weill Medical College of Cornell University,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01755013
Hodgkin Lymphoma,NCT02280993,Marjolein Spiering,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02280993
Fallopian Tube Cancer,NCT00238342,Gynecologic Oncology Group,N/A,Interventional,https://clinicaltrials.gov/show/NCT00238342
Cholangiocarcinoma,NCT00230347,Stanford University,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00230347
Adrenocortical Carcinoma,NCT03127774,Columbia University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03127774
Hodgkin Lymphoma,NCT03120676,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03120676
Adenoid Cystic Carcinoma,NCT01586767,Massachusetts General Hospital,N/A,Interventional,https://clinicaltrials.gov/show/NCT01586767
Hodgkin Lymphoma,NCT04396119,The Christie NHS Foundation Trust,None,Observational,https://clinicaltrials.gov/show/NCT04396119
Kidney Cancer,NCT04393350,Emory University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04393350
Gliosarcoma,NCT04396860,National Cancer Institute (NCI),Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT04396860
Hodgkin Lymphoma,NCT03730363,Reinhold Munker,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03730363
Cholangiocarcinoma,NCT01963325,Yuhong Li,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01963325
Pheochromocytoma,NCT01967576,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01967576
Mucosal Melanoma,NCT01961115,Fred Hutchinson Cancer Research Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01961115
Primary Myelofibrosis,NCT01969838,"Sierra Oncology, Inc.",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01969838
Ependymoma,NCT01117155,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT01117155
Mesothelioma,NCT01119664,Abramson Cancer Center of the University of Pennsylvania,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01119664
Hodgkin Lymphoma,NCT02763254,Cell Medica Ltd,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02763254
Uveal Melanoma,NCT02768766,Richard D. Carvajal,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02768766
Primary Myelofibrosis,NCT02760238,"University Health Network, Toronto",None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT02760238
Cholangiocarcinoma,NCT00320918,University of New Mexico,None,Observational,https://clinicaltrials.gov/show/NCT00320918
T-cell Lymphoma,NCT00322985,AHS Cancer Control Alberta,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00322985
Kidney Cancer,NCT00323739,"SCRI Development Innovations, LLC",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00323739
Adrenocortical Carcinoma,NCT00324012,"Rigshospitalet, Denmark",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00324012
Kidney Cancer,NCT00323791,University of Medicine and Dentistry of New Jersey,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00323791
Primary Myelofibrosis,NCT01731951,Geron Corporation,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01731951
Cholangiocarcinoma,NCT01739465,Guangzhou Medical University,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01739465
Uveal Melanoma,NCT04184518,Grupo Español Multidisciplinar de Melanoma,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04184518
Adrenocortical Carcinoma,NCT04187404,Enterome,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04187404
Insulinoma,NCT04185350,"Nanjing First Hospital, Nanjing Medical University",Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04185350
Mucosal Melanoma,NCT04180995,Beijing Cancer Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04180995
Hodgkin Lymphoma,NCT01356680,University of Cologne,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01356680
Mesothelioma,NCT01356251,Memorial Sloan Kettering Cancer Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT01356251
Cholangiocarcinoma,NCT01145248,University of Ulm,N/A,Interventional,https://clinicaltrials.gov/show/NCT01145248
Fallopian Tube Cancer,NCT01591772,Memorial Sloan Kettering Cancer Center,None,Observational,https://clinicaltrials.gov/show/NCT01591772
Mesothelioma,NCT01590472,Wake Forest University,None,Observational,https://clinicaltrials.gov/show/NCT01590472
Cholangiocarcinoma,NCT02609958,Aslan Pharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02609958
Uveal Melanoma,NCT02601378,Novartis Pharmaceuticals,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02601378
Cholangiocarcinoma,NCT02607826,University Hospital Tuebingen,N/A,Interventional,https://clinicaltrials.gov/show/NCT02607826
Gliosarcoma,NCT04216329,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04216329
Adenoid Cystic Carcinoma,NCT04214366,Heidelberg University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04214366
Mesothelioma,NCT04214015,ProgenaBiome,None,Observational,https://clinicaltrials.gov/show/NCT04214015
Fallopian Tube Cancer,NCT00275028,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00275028
Kidney Cancer,NCT00278174,Case Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00278174
Kidney Cancer,NCT00278369,Northwestern University,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00278369
Kidney Cancer,NCT00276614,Jonsson Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00276614
Kidney Cancer,NCT00276835,Northwestern University,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00276835
Hodgkin Lymphoma,NCT03495713,Abramson Cancer Center of the University of Pennsylvania,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03495713
Cholangiocarcinoma,NCT03499782,"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",None,Observational,https://clinicaltrials.gov/show/NCT03499782
Kidney Cancer,NCT00943839,Centre Antoine Lacassagne,N/A,Interventional,https://clinicaltrials.gov/show/NCT00943839
Kidney Cancer,NCT00550654,National Institutes of Health Clinical Center (CC),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00550654
Fallopian Tube Cancer,NCT00550784,City of Hope Medical Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00550784
Mesothelioma,NCT00551252,Gruppo Italiano MEsotelioma,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00551252
Adrenocortical Carcinoma,NCT01833832,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01833832
Adrenocortical Carcinoma,NCT01832974,INSYS Therapeutics Inc,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01832974
Cholangiocarcinoma,NCT00955721,University of Miami,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00955721
T-cell Lymphoma,NCT00959686,French Innovative Leukemia Organisation,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00959686
Penile Cancer,NCT00955929,Memorial Sloan Kettering Cancer Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT00955929
Fallopian Tube Cancer,NCT00354601,Wake Forest University Health Sciences,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00354601
Cholangiocarcinoma,NCT00350961,"Rigshospitalet, Denmark",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00350961
Cholangiocarcinoma,NCT00350753,"Rigshospitalet, Denmark",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00350753
Fallopian Tube Cancer,NCT00357448,University of Washington,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00357448
Fallopian Tube Cancer,NCT00373217,"Craig L Slingluff, Jr",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00373217
Uveal Melanoma,NCT02626962,Grupo Español Multidisciplinar de Melanoma,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02626962
Thymic Carcinoma,NCT02623127,Seoul National University Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02623127
Mesothelioma,NCT02628535,MacroGenics,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02628535
Cholangiocarcinoma,NCT02626312,M.D. Anderson Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02626312
Pancreatic Neuroendocrine Tumor,NCT02624154,"First Affiliated Hospital, Sun Yat-Sen University",None,Observational,https://clinicaltrials.gov/show/NCT02624154
Hodgkin Lymphoma,NCT02624258,University of Pennsylvania,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02624258
Mucosal Melanoma,NCT03138642,Sun Yat-sen University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03138642
Hodgkin Lymphoma,NCT03131531,A.O. Ospedale Papa Giovanni XXIII,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT03131531
Primary Myelofibrosis,NCT02251821,Fred Hutchinson Cancer Research Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02251821
NUT Midline Carcinoma,NCT02259114,Oncoethix GmbH,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02259114
Primary Myelofibrosis,NCT02426086,Geron Corporation,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02426086
Hodgkin Lymphoma,NCT02429375,Memorial Sloan Kettering Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02429375
Cholangiocarcinoma,NCT02428855,Massachusetts General Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02428855
T-cell Lymphoma,NCT02424045,Samsung Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02424045
Hodgkin Lymphoma,NCT01008735,Gruppo Italiano Studio Linfomi,None,Observational,https://clinicaltrials.gov/show/NCT01008735
Cholangiocarcinoma,NCT01007552,Roswell Park Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01007552
Kidney Cancer,NCT01004783,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT01004783
Hodgkin Lymphoma,NCT02321592,University of Cologne,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02321592
Hypopharyngeal Cancer,NCT03558035,Chinese Academy of Medical Sciences,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03558035
Kidney Cancer,NCT03556943,"Ceevra, Inc.",N/A,Interventional,https://clinicaltrials.gov/show/NCT03556943
Adenoid Cystic Carcinoma,NCT01192087,Heidelberg University,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01192087
Hodgkin Lymphoma,NCT03681561,Veronika Bachanova,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03681561
Penile Cancer,NCT03686332,The Netherlands Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03686332
Mesothelioma,NCT03683680,Dana-Farber Cancer Institute,N/A,Interventional,https://clinicaltrials.gov/show/NCT03683680
Waldenström's Macroglobulinemia,NCT02165397,Pharmacyclics LLC.,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02165397
Cholangiocarcinoma,NCT02162914,Erasme University Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02162914
Uveal Melanoma,NCT02913417,"David Minor, MD",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02913417
Primary Myelofibrosis,NCT02917096,City of Hope Medical Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02917096
Cholangiocarcinoma,NCT03102268,The Second Hospital of Nanjing Medical University,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT03102268
Adrenocortical Carcinoma,NCT00786110,"University of Turin, Italy",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00786110
Mesothelioma,NCT00787410,AstraZeneca,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00787410
Thymoma,NCT00589290,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00589290
Kidney Cancer,NCT00588913,Tokyo Women's Medical University,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00588913
Kidney Cancer,NCT00589550,Thomas Olencki,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00589550
Kidney Cancer,NCT00582790,"University of Wisconsin, Madison",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00582790
Adenoid Cystic Carcinoma,NCT00581360,University of Pittsburgh,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00581360
Pheochromocytoma,NCT00911729,"Molecular Insight Pharmaceuticals, Inc.",None,Observational,https://clinicaltrials.gov/show/NCT00911729
Hodgkin Lymphoma,NCT01453504,University of Cologne,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01453504
Cholangiocarcinoma,NCT04480190,Jordan Kharofa,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04480190
Mesothelioma,NCT04481672,Dana-Farber Cancer Institute,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04481672
Hodgkin Lymphoma,NCT00982449,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,N/A,Interventional,https://clinicaltrials.gov/show/NCT00982449
Hodgkin Lymphoma,NCT02247869,Fondazione Italiana Linfomi ONLUS,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02247869
Leiomyosarcoma,NCT02249702,Mario Negri Institute for Pharmacological Research,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02249702
Kidney Cancer,NCT00717587,Abramson Cancer Center of the University of Pennsylvania,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00717587
Mesothelioma,NCT00715611,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00715611
Cholangiocarcinoma,NCT00713687,Technische Universität München,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00713687
Primary Myelofibrosis,NCT01981850,Hoffmann-La Roche,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01981850
Uveal Melanoma,NCT01983748,University Hospital Erlangen,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01983748
Male Breast Cancer,NCT01982591,Fox Chase Cancer Center,None,Observational,https://clinicaltrials.gov/show/NCT01982591
Uveal Melanoma,NCT02771340,"Iconic Therapeutics, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02771340
Adenoid Cystic Carcinoma,NCT02775370,Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02775370
Cholangiocarcinoma,NCT02773485,Tata Memorial Hospital,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02773485
Male Breast Cancer,NCT02046421,University of Chicago,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02046421
Mesothelioma,NCT02040272,Royal Brompton & Harefield NHS Foundation Trust,N/A,Interventional,https://clinicaltrials.gov/show/NCT02040272
Kidney Cancer,NCT00405366,UNC Lineberger Comprehensive Cancer Center,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00405366
Kidney Cancer,NCT00401128,The Cleveland Clinic,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00401128
Mesothelioma,NCT00407459,"Armando Santoro, MD",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00407459
Mesothelioma,NCT00402766,M.D. Anderson Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00402766
Kidney Cancer,NCT00403169,The Cleveland Clinic,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00403169
Adult T-Cell Leukemia/Lymphoma,NCT03113500,City of Hope Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03113500
Gliosarcoma,NCT03115333,ECOG-ACRIN Cancer Research Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03115333
Hodgkin Lymphoma,NCT03033914,Memorial Sloan Kettering Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03033914
Fallopian Tube Cancer,NCT00574951,Gynecologic Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00574951
Pancreatic Neuroendocrine Tumor,NCT00576680,Dana-Farber Cancer Institute,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00576680
Parathyroid Carcinoma,NCT03046524,M.D. Anderson Cancer Center,None,Observational,https://clinicaltrials.gov/show/NCT03046524
Cholangiocarcinoma,NCT03042182,Immunitor LLC,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03042182
Pleuropulmonary Blastoma,NCT03044834,Rennes University Hospital,None,Observational,https://clinicaltrials.gov/show/NCT03044834
Hodgkin Lymphoma,NCT03343665,St. Petersburg State Pavlov Medical University,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03343665
Pheochromocytoma,NCT03344016,Felix Beuschlein,N/A,Interventional,https://clinicaltrials.gov/show/NCT03344016
Primary Myelofibrosis,NCT01178281,Celgene,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01178281
Gliosarcoma,NCT03641326,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03641326
Mesothelioma,NCT03644550,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03644550
Hodgkin Lymphoma,NCT03646123,Seagen Inc.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03646123
Kidney Cancer,NCT01314391,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT01314391
Hypopharyngeal Cancer,NCT01312350,Samsung Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01312350
Cutaneous T Cell Lymphoma,NCT02539472,Assistance Publique - Hôpitaux de Paris,N/A,Interventional,https://clinicaltrials.gov/show/NCT02539472
Kidney Cancer,NCT02298608,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02298608
Hodgkin Lymphoma,NCT02298283,The Lymphoma Academic Research Organisation,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02298283
Hodgkin Lymphoma,NCT02292979,The Lymphoma Academic Research Organisation,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02292979
Mesothelioma,NCT00040625,Eli Lilly and Company,None,Expanded Access,https://clinicaltrials.gov/show/NCT00040625
Male Breast Cancer,NCT00045188,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00045188
Kidney Cancer,NCT00045279,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00045279
Fallopian Tube Cancer,NCT00045461,Ludwig-Maximilians - University of Munich,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00045461
Kidney Cancer,NCT00045487,The University of Texas Health Science Center at San Antonio,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00045487
Kidney Cancer,NCT00042965,Alliance for Clinical Trials in Oncology,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00042965
Kidney Cancer,NCT00045370,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00045370
Kidney Cancer,NCT00047138,University of Leicester,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00047138
Fallopian Tube Cancer,NCT00041080,National Cancer Institute (NCI),Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00041080
Fallopian Tube Cancer,NCT00045175,"University Health Network, Toronto",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00045175
Mesothelioma,NCT01204203,University of Alabama at Birmingham,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01204203
Cholangiocarcinoma,NCT01206049,Vejle Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01206049
Fallopian Tube Cancer,NCT01204749,Amgen,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01204749
Male Breast Cancer,NCT00821964,University of Washington,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00821964
Mesothelioma,NCT03319537,Memorial Sloan Kettering Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03319537
Mucosal Melanoma,NCT03319693,CHU de Reims,None,Observational,https://clinicaltrials.gov/show/NCT03319693
Mesothelioma,NCT01719068,British Columbia Cancer Agency,None,Observational,https://clinicaltrials.gov/show/NCT01719068
Hodgkin Lymphoma,NCT01712490,"Millennium Pharmaceuticals, Inc.",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01712490
Leiomyosarcoma,NCT03509207,Medical University of Graz,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03509207
Hodgkin Lymphoma,NCT03505996,CStone Pharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03505996
Cholangiocarcinoma,NCT02659852,Yonsei University,N/A,Interventional,https://clinicaltrials.gov/show/NCT02659852
Kidney Cancer,NCT00831480,Linda C. Higgins,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00831480
Fallopian Tube Cancer,NCT00838656,Warwick Medical School,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00838656
Male Breast Cancer,NCT00343863,University of Washington,N/A,Interventional,https://clinicaltrials.gov/show/NCT00343863
Alveolar Soft Part Sarcoma,NCT00340353,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT00340353
Male Breast Cancer,NCT00348699,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00348699
Kidney Cancer,NCT00340457,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT00340457
Uveal Melanoma,NCT02273219,Richard D. Carvajal,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02273219
Hodgkin Lymphoma,NCT02275598,University of Modena and Reggio Emilia,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02275598
Chondrosarcoma,NCT04278781,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04278781
Pheochromocytoma,NCT03839498,Columbia University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03839498
Mesothelioma,NCT03830229,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT03830229
Kidney Cancer,NCT03354390,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03354390
Adenoid Cystic Carcinoma,NCT01558661,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01558661
Kidney Cancer,NCT01550393,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT01550393
T-cell Lymphoma,NCT01553786,The Lymphoma Academic Research Organisation,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01553786
Fallopian Tube Cancer,NCT01570582,Korean Gynecologic Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01570582
Kidney Cancer,NCT01576198,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT01576198
Kidney Cancer,NCT01576211,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT01576211
Cholangiocarcinoma,NCT02924376,Incyte Corporation,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02924376
Hodgkin Lymphoma,NCT02572167,Seagen Inc.,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02572167
